성분명A,성분코드A,제품코드A,제품명A,업체명A,급여여부A,성분명B,성분코드B,제품코드B,제품명B,업체명B,급여여부B,고시번호,고시일자,상세정보,비고
cyclosporine,139230BIJ,643301131,사이폴주(사이클로스포린)_(0.25g/5mL),(주)종근당,급여,rosuvastatin calcium (as rosuvastatin),454002ATB,52400140,로슈바정20mg(로수바스타틴칼슘)_(20.8mg/1정),(주)인트로바이오파마,급여,20200061,2020-07-10,혈중농도 상승 및 근육병증/횡문근융해증 위험성 증가,
felodipine,157501ATR,698002070,디크리핀서방정5밀리그램(펠로디핀)_(5mg/1정),(주)제뉴파마,급여,itraconazole,179101ACH,52401700,이트코나졸캡슐(이트라코나졸)_(0.1g/1캡슐),(주)인트로바이오파마,급여,20190131,2019-12-17,"Felodipine의 혈중농도 증가. 저혈압, 말초부종 같은 약물이상반응 발생 위험 증가, Itraconazole 투여 중 및 종료 후 2주 간 해당 성분 투여 금기",
itraconazole,179101ATB,645208410,이토졸정(이트라코나졸고체분산체)_(0.253g/1정),(주)에이프로젠바이오로직스,급여,ezetimibe,633800ATB,52402040,인토젯정10/10밀리그램_(1정),(주)인트로바이오파마,급여,20230083,2023-12-20,"근육병증, 횡문근융해증 위험 증가 가능",
microemulsion cyclosporine,194702ACS,653600550,산디문뉴오랄연질캡슐25밀리그램(사이클로스포린)_(25mg/1캡슐),한국노바티스(주),급여,telmisartan,671300ATB,52402330,"아이스타플러스정80/5/5밀리그램(텔미사르탄, 암로디핀, 로수바스타틴)_(1정)",(주)인트로바이오파마,급여,20230083,2023-12-20,"근육통, 근육약화, 근염, 때때로 횡문근 변성을 포함한 근육독성 촉진 가능",
microemulsion cyclosporine,194701ACS,643301100,사이폴-엔연질캡슐100밀리그램(사이클로스포린)(수출명:데나스포연질캡슐100밀리그램)_(0.1g/1캡슐),(주)종근당,급여,amlodipine besylate (as amlodipine),671400ATB,52402340,"아이스타플러스정40/5/10밀리그램(텔미사르탄,암로디핀,로수바스타틴)_(1정)",(주)인트로바이오파마,급여,20230083,2023-12-20,"근육통, 근육약화, 근염, 때때로 횡문근 변성을 포함한 근육독성 촉진 가능",
teneligliptin ditosylate dihydrate (as teneligliptin),711100ATR,694003800,테넬로드엠서방정10/500밀리그램_(1정),대웅바이오(주),급여,iohexol,176340BIJ,52600011,아이맥스이오헥솔300주_(32.35g/50mL),엔코맥(주),급여,20200061,2020-07-10,기능적 신부전에 의해 유산 산성증 촉진,48시간 이내 병용금기
empagliflozin,649100ATB,694004420,"자디엠파듀오정12.5/850밀리그램(엠파글리플로진,메트포르민염산염)_(1정)",대웅바이오(주),급여,iohexol,176340BIJ,52600011,아이맥스이오헥솔300주_(32.35g/50mL),엔코맥(주),급여,20200061,2020-07-10,기능적 신부전에 의해 유산 산성증 촉진,48시간 이내 병용금기
empagliflozin,649400ATB,669908430,"엔피앙듀오정5/500밀리그램(엠파글리플로진,메트포르민염산염)_(1정)",대한뉴팜(주),급여,iohexol,176340BIJ,52600011,아이맥스이오헥솔300주_(32.35g/50mL),엔코맥(주),급여,20200061,2020-07-10,기능적 신부전에 의해 유산 산성증 촉진,48시간 이내 병용금기
metformin hydrochloride,635700ATB,693903830,"네시나메트정12.5/1000밀리그램(알로글립틴벤조산염,메트포르민염산염)_(1정)",(주)셀트리온제약,급여,iohexol,176340BIJ,52600011,아이맥스이오헥솔300주_(32.35g/50mL),엔코맥(주),급여,20200061,2020-07-10,기능적 신부전에 의해 유산 산성증 촉진,48시간 이내 병용금기
metformin hydrochloride,726800ATR,647304530,다파엘듀오서방정10/500밀리그램_(1정),에이치엘비제약(주),급여,iohexol,176340BIJ,52600011,아이맥스이오헥솔300주_(32.35g/50mL),엔코맥(주),급여,20200061,2020-07-10,기능적 신부전에 의해 유산 산성증 촉진,48시간 이내 병용금기
